date,time,entidad,compra,venta
2025-04-11,2025-04-11T19:19:09Z,Agente de Cambio La Nacional,60,
2025-04-11,2025-04-11T19:19:09Z,Asociación Mocana,60,
2025-04-11,2025-04-11T19:19:09Z,Asociación Romana,60,
2025-04-11,2025-04-11T19:19:09Z,Moneycorps,60.5,61.449999999999996
2025-04-11,2025-04-11T19:19:09Z,Taveras,60.5,61.5
2025-04-11,2025-04-11T19:19:09Z,Gamelin,60.3,61.6
2025-04-11,2025-04-11T19:19:09Z,Cambio Extranjero,60.25,61.690000000000005
2025-04-11,2025-04-11T19:19:09Z,Capla,,61.7
2025-04-11,2025-04-11T19:19:09Z,Panora Exchange,60.5,61.7
2025-04-11,2025-04-11T19:19:09Z,Girosol,60.3,61.9
2025-04-11,2025-04-11T19:19:09Z,Banreservas,60.349999999999994,61.949999999999996
2025-04-11,2025-04-11T19:19:09Z,Banco BHD,60,62
2025-04-11,2025-04-11T19:19:09Z,Asociación Cibao de Ahorros y Préstamos,60,62
2025-04-11,2025-04-11T19:19:09Z,Banco Vimenca,60,62
2025-04-11,2025-04-11T19:19:09Z,Scotiabank Cambio online,60.05,62
2025-04-11,2025-04-11T19:19:09Z,Banco Unión,60,62
2025-04-11,2025-04-11T19:19:09Z,Alaver,60.3,62
2025-04-11,2025-04-11T19:19:09Z,SCT,60.5,62.2
2025-04-11,2025-04-11T19:19:09Z,Banco Lafise,60.25,62.25
2025-04-11,2025-04-11T19:19:09Z,Scotiabank,59.9,62.25
2025-04-11,2025-04-11T19:19:09Z,Asociación La Nacional de Ahorros y Préstamos,60.3,62.25
2025-04-11,2025-04-11T19:19:09Z,Banco Popular,60,62.25
2025-04-11,2025-04-11T19:19:09Z,Banco Caribe,60.25,62.25
2025-04-11,2025-04-11T19:19:09Z,Banesco,60.25,62.25
2025-04-11,2025-04-11T19:19:09Z,Asociación Popular de Ahorros y Préstamos,60,62.25
2025-04-11,2025-04-11T19:19:09Z,Motor Crédito,60.6,62.3
2025-04-11,2025-04-11T19:19:09Z,Abonap,60.379999999999995,62.36
2025-04-11,2025-04-11T19:19:09Z,RM,61.8,62.4
2025-04-11,2025-04-11T19:19:09Z,Bonanza Banco,60.2,62.5
2025-04-11,2025-04-11T19:19:09Z,Asociación Duarte,60.3,62.5
2025-04-11,2025-04-11T19:19:09Z,Asociación Peravia de Ahorros y Préstamos,60.75,62.8
