date,time,entidad,compra,venta
2025-03-30,2025-03-30T21:19:01Z,Agente de Cambio La Nacional,62.9,
2025-03-30,2025-03-30T21:19:01Z,Asociación Mocana,60,
2025-03-30,2025-03-30T21:19:01Z,Asociación Romana,62.4,
2025-03-30,2025-03-30T21:19:01Z,Asociación Peravia de Ahorros y Préstamos,62,63.2
2025-03-30,2025-03-30T21:19:01Z,Banreservas,61.849999999999994,63.349999999999994
2025-03-30,2025-03-30T21:19:01Z,Asociación Duarte,62.15,63.4
2025-03-30,2025-03-30T21:19:01Z,Cambio Extranjero,62.449999999999996,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banco BHD,61.65,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banco Vimenca,62.4,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banco Lafise,61.949999999999996,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Scotiabank Cambio online,61.7,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Abonap,61.96,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banesco,61.6,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banco Popular,61.5,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Banco Caribe,62.449999999999996,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Asociación Popular de Ahorros y Préstamos,61.6,63.449999999999996
2025-03-30,2025-03-30T21:19:01Z,Moneycorps,63.1,63.5
2025-03-30,2025-03-30T21:19:01Z,Gamelin,63,63.5
2025-03-30,2025-03-30T21:19:01Z,RM,63.05,63.5
2025-03-30,2025-03-30T21:19:01Z,Panora Exchange,63,63.5
2025-03-30,2025-03-30T21:19:01Z,Asociación Cibao de Ahorros y Préstamos,62.5,63.5
2025-03-30,2025-03-30T21:19:01Z,Taveras,63,63.5
2025-03-30,2025-03-30T21:19:01Z,Scotiabank,61.55,63.5
2025-03-30,2025-03-30T21:19:01Z,Banco Unión,62,63.5
2025-03-30,2025-03-30T21:19:01Z,Asociación La Nacional de Ahorros y Préstamos,62.5,63.5
2025-03-30,2025-03-30T21:19:01Z,Alaver,62.1,63.5
2025-03-30,2025-03-30T21:19:01Z,Bonanza Banco,62.6,63.5
2025-03-30,2025-03-30T21:19:01Z,Capla,63,63.55
2025-03-30,2025-03-30T21:19:01Z,Girosol,63,63.55
2025-03-30,2025-03-30T21:19:01Z,Motor Crédito,62.65,63.55
2025-03-30,2025-03-30T21:19:01Z,SCT,63.1,63.7
