date,time,entidad,compra,venta
2025-04-21,2025-04-21T19:18:14Z,Asociación Mocana,60,
2025-04-21,2025-04-21T19:18:14Z,Agente de Cambio La Nacional,59,
2025-04-21,2025-04-21T19:18:14Z,Asociación Romana,58.5,
2025-04-21,2025-04-21T19:18:14Z,RM,59.3,59.8
2025-04-21,2025-04-21T19:18:14Z,Girosol,58.8,59.8
2025-04-21,2025-04-21T19:18:14Z,Moneycorps,59.25,60.1
2025-04-21,2025-04-21T19:18:14Z,SCT,59,60.2
2025-04-21,2025-04-21T19:18:14Z,Cambio Extranjero,59.1,60.25
2025-04-21,2025-04-21T19:18:14Z,Banreservas,59.15,61
2025-04-21,2025-04-21T19:18:14Z,Gamelin,59.1,61
2025-04-21,2025-04-21T19:18:14Z,Panora Exchange,59.25,61
2025-04-21,2025-04-21T19:18:14Z,Asociación Cibao de Ahorros y Préstamos,58.55,61
2025-04-21,2025-04-21T19:18:14Z,Banco BHD,58.849999999999994,61
2025-04-21,2025-04-21T19:18:14Z,Banco Promerica,58.75,61
2025-04-21,2025-04-21T19:18:14Z,Banco Unión,58.5,61
2025-04-21,2025-04-21T19:18:14Z,Asociación La Nacional de Ahorros y Préstamos,58.7,61
2025-04-21,2025-04-21T19:18:14Z,Alaver,58.55,61
2025-04-21,2025-04-21T19:18:14Z,Banco Caribe,59,61
2025-04-21,2025-04-21T19:18:14Z,Taveras,59.1,61.1
2025-04-21,2025-04-21T19:18:14Z,Asociación Duarte,58.9,61.15
2025-04-21,2025-04-21T19:18:14Z,Banesco,58.849999999999994,61.2
2025-04-21,2025-04-21T19:18:14Z,Abonap,59.98,61.24
2025-04-21,2025-04-21T19:18:14Z,Banco Vimenca,58.849999999999994,61.25
2025-04-21,2025-04-21T19:18:14Z,Banco Lafise,58.849999999999994,61.25
2025-04-21,2025-04-21T19:18:14Z,Scotiabank Cambio online,58.849999999999994,61.25
2025-04-21,2025-04-21T19:18:14Z,Asociación Peravia de Ahorros y Préstamos,58.849999999999994,61.25
2025-04-21,2025-04-21T19:18:14Z,Banco Popular,58.849999999999994,61.25
2025-04-21,2025-04-21T19:18:14Z,Motor Crédito,59.2,61.25
2025-04-21,2025-04-21T19:18:14Z,Asociación Popular de Ahorros y Préstamos,58.75,61.25
2025-04-21,2025-04-21T19:18:14Z,Bonanza Banco,58.8,61.3
2025-04-21,2025-04-21T19:18:14Z,Scotiabank,58.55,61.55
2025-04-21,2025-04-21T19:18:14Z,Capla,,61.7
