date,time,entidad,compra,venta
2025-03-23,2025-03-23T17:16:36Z,Capla,62.8,
2025-03-23,2025-03-23T17:16:36Z,Asociación Mocana,60,
2025-03-23,2025-03-23T17:16:36Z,Agente de Cambio La Nacional,62.5,
2025-03-23,2025-03-23T17:16:36Z,Asociación Romana,62.25,
2025-03-23,2025-03-23T17:16:36Z,RM,62.8,63.1
2025-03-23,2025-03-23T17:16:36Z,Asociación Peravia de Ahorros y Préstamos,62,63.2
2025-03-23,2025-03-23T17:16:36Z,Girosol,62.65,63.25
2025-03-23,2025-03-23T17:16:36Z,Taveras,62.75,63.25
2025-03-23,2025-03-23T17:16:36Z,Banreservas,61.75,63.25
2025-03-23,2025-03-23T17:16:36Z,Asociación Duarte,62,63.25
2025-03-23,2025-03-23T17:16:36Z,Motor Crédito,62.3,63.25
2025-03-23,2025-03-23T17:16:36Z,Abonap,61.8,63.28
2025-03-23,2025-03-23T17:16:36Z,Cambio Extranjero,62.4,63.3
2025-03-23,2025-03-23T17:16:36Z,Panora Exchange,62.75,63.3
2025-03-23,2025-03-23T17:16:36Z,SCT,62.5,63.3
2025-03-23,2025-03-23T17:16:36Z,Banco Lafise,61.8,63.3
2025-03-23,2025-03-23T17:16:36Z,Scotiabank Cambio online,61.55,63.3
2025-03-23,2025-03-23T17:16:36Z,Alaver,62.05,63.3
2025-03-23,2025-03-23T17:16:36Z,Asociación La Nacional de Ahorros y Préstamos,62.3,63.3
2025-03-23,2025-03-23T17:16:36Z,Banesco,61.4,63.3
2025-03-23,2025-03-23T17:16:36Z,Bonanza Banco,62.3,63.3
2025-03-23,2025-03-23T17:16:36Z,Banco Caribe,62.3,63.3
2025-03-23,2025-03-23T17:16:36Z,Banco BHD,61.55,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Gamelin,62.8,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Banco Vimenca,62.3,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Asociación Cibao de Ahorros y Préstamos,62.349999999999994,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Scotiabank,61.4,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Banco Popular,61.4,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Asociación Popular de Ahorros y Préstamos,61.4,63.349999999999994
2025-03-23,2025-03-23T17:16:36Z,Moneycorps,62.9,63.4
2025-03-23,2025-03-23T17:16:36Z,Banco Unión,62,63.5
