date,time,entidad,compra,venta
2025-05-04,2025-05-04T17:17:49Z,Agente de Cambio La Nacional,58.4,
2025-05-04,2025-05-04T17:17:49Z,Asociación Mocana,56,
2025-05-04,2025-05-04T17:17:49Z,Asociación Romana,57.9,
2025-05-04,2025-05-04T17:17:49Z,Taveras,58.6,59
2025-05-04,2025-05-04T17:17:49Z,Moneycorps,58.6,59.1
2025-05-04,2025-05-04T17:17:49Z,Cambio Extranjero,58.65,59.14
2025-05-04,2025-05-04T17:17:49Z,RM,58.6,59.2
2025-05-04,2025-05-04T17:17:49Z,Girosol,58.3,59.2
2025-05-04,2025-05-04T17:17:49Z,Capla,58.5,59.3
2025-05-04,2025-05-04T17:17:49Z,Panora Exchange,58.4,59.3
2025-05-04,2025-05-04T17:17:49Z,SCT,58.5,59.3
2025-05-04,2025-05-04T17:17:49Z,Gamelin,58.5,59.3
2025-05-04,2025-05-04T17:17:49Z,Banco BHD,58.1,60.25
2025-05-04,2025-05-04T17:17:49Z,Asociación Cibao de Ahorros y Préstamos,58.4,60.25
2025-05-04,2025-05-04T17:17:49Z,Banco Unión,58.25,60.25
2025-05-04,2025-05-04T17:17:49Z,Banreservas,58.4,60.25
2025-05-04,2025-05-04T17:17:49Z,Alaver,58.1,60.25
2025-05-04,2025-05-04T17:17:49Z,Banco Caribe,58.4,60.25
2025-05-04,2025-05-04T17:17:49Z,Banco Vimenca,58.3,60.3
2025-05-04,2025-05-04T17:17:49Z,Asociación Duarte,58.25,60.449999999999996
2025-05-04,2025-05-04T17:17:49Z,Abonap,58.260000000000005,60.49
2025-05-04,2025-05-04T17:17:49Z,Banesco,58.4,60.5
2025-05-04,2025-05-04T17:17:49Z,Motor Crédito,58.55,60.5
2025-05-04,2025-05-04T17:17:49Z,Banco Lafise,58.25,60.6
2025-05-04,2025-05-04T17:17:49Z,Scotiabank Cambio online,58.1,60.6
2025-05-04,2025-05-04T17:17:49Z,Banco Popular,58.1,60.6
2025-05-04,2025-05-04T17:17:49Z,Asociación Popular de Ahorros y Préstamos,58.1,60.6
2025-05-04,2025-05-04T17:17:49Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.7
2025-05-04,2025-05-04T17:17:49Z,Banco Promerica,58.5,60.75
2025-05-04,2025-05-04T17:17:49Z,Asociación La Nacional de Ahorros y Préstamos,58.4,60.75
2025-05-04,2025-05-04T17:17:49Z,Bonanza Banco,58.3,60.75
2025-05-04,2025-05-04T17:17:49Z,Scotiabank,57.9,60.849999999999994
