date,time,entidad,compra,venta
2025-03-15,2025-03-15T11:12:59Z,Capla,62.6,
2025-03-15,2025-03-15T11:12:59Z,Agente de Cambio La Nacional,62.5,
2025-03-15,2025-03-15T11:12:59Z,Gamelin,62.5,62.9
2025-03-15,2025-03-15T11:12:59Z,Asociación Peravia de Ahorros y Préstamos,61.7,62.9
2025-03-15,2025-03-15T11:12:59Z,Cambio Extranjero,62.4,63
2025-03-15,2025-03-15T11:12:59Z,Girosol,62.3,63
2025-03-15,2025-03-15T11:12:59Z,Bonanza Banco,62.1,63
2025-03-15,2025-03-15T11:12:59Z,Asociación La Nacional de Ahorros y Préstamos,62.05,63.05
2025-03-15,2025-03-15T11:12:59Z,Motor Crédito,62.15,63.05
2025-03-15,2025-03-15T11:12:59Z,Panora Exchange,62.5,63.1
2025-03-15,2025-03-15T11:12:59Z,Taveras,62.5,63.1
2025-03-15,2025-03-15T11:12:59Z,RM,62.8,63.1
2025-03-15,2025-03-15T11:12:59Z,Scotiabank Cambio online,61.349999999999994,63.1
2025-03-15,2025-03-15T11:12:59Z,Alaver,62.05,63.1
2025-03-15,2025-03-15T11:12:59Z,Scotiabank,61.2,63.15
2025-03-15,2025-03-15T11:12:59Z,Banco Lafise,61.65,63.15
2025-03-15,2025-03-15T11:12:59Z,Banesco,61.2,63.15
2025-03-15,2025-03-15T11:12:59Z,Asociación Popular de Ahorros y Préstamos,61.3,63.15
2025-03-15,2025-03-15T11:12:59Z,Moneycorps,62.7,63.2
2025-03-15,2025-03-15T11:12:59Z,Asociación Cibao de Ahorros y Préstamos,62.2,63.2
2025-03-15,2025-03-15T11:12:59Z,Banco Popular,61.3,63.2
2025-03-15,2025-03-15T11:12:59Z,SCT,62.5,63.3
