date,time,entidad,compra,venta
2025-03-15,2025-03-15T14:15:24Z,Capla,62.6,
2025-03-15,2025-03-15T14:15:24Z,Agente de Cambio La Nacional,62.5,
2025-03-15,2025-03-15T14:15:24Z,Gamelin,62.5,62.9
2025-03-15,2025-03-15T14:15:24Z,Asociación Peravia de Ahorros y Préstamos,61.7,62.9
2025-03-15,2025-03-15T14:15:24Z,Girosol,62.3,63
2025-03-15,2025-03-15T14:15:24Z,Cambio Extranjero,62.4,63
2025-03-15,2025-03-15T14:15:24Z,Bonanza Banco,62.1,63
2025-03-15,2025-03-15T14:15:24Z,Asociación La Nacional de Ahorros y Préstamos,62.05,63.05
2025-03-15,2025-03-15T14:15:24Z,Motor Crédito,62.15,63.05
2025-03-15,2025-03-15T14:15:24Z,Panora Exchange,62.5,63.1
2025-03-15,2025-03-15T14:15:24Z,RM,62.8,63.1
2025-03-15,2025-03-15T14:15:24Z,Taveras,62.5,63.1
2025-03-15,2025-03-15T14:15:24Z,Scotiabank Cambio online,61.349999999999994,63.1
2025-03-15,2025-03-15T14:15:24Z,Alaver,62.05,63.1
2025-03-15,2025-03-15T14:15:24Z,Scotiabank,61.2,63.15
2025-03-15,2025-03-15T14:15:24Z,Banco Lafise,61.65,63.15
2025-03-15,2025-03-15T14:15:24Z,Banesco,61.2,63.15
2025-03-15,2025-03-15T14:15:24Z,Asociación Popular de Ahorros y Préstamos,61.3,63.15
2025-03-15,2025-03-15T14:15:24Z,Moneycorps,62.7,63.2
2025-03-15,2025-03-15T14:15:24Z,Asociación Cibao de Ahorros y Préstamos,62.2,63.2
2025-03-15,2025-03-15T14:15:24Z,Banco Popular,61.3,63.2
2025-03-15,2025-03-15T14:15:24Z,SCT,62.5,63.3
